hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
HOTEL Corporate Suite Near Delhi Terminal 3 With - Free Airport Pickup,"Aerocity, New Delhi (Aerocity)","42,117","70,195",Very good,8.5,480,Family Suite,2 extra-large double beds,,Free parking,Metro access,Free cancellation,13.4 km from centre,"2,106"
Smyle Inn - Best Budget Hotel near New Delhi Train Station,"Paharganj, New Delhi (Chandni Chowk)","13,954","17,442",Very good,8.3,"1,904",Comfort Room,Beds: 1 double or 2 singles,,,No Metro,,1.1 km from centre,698
Himalaya Palace by SG Hospitality,"Paharganj, New Delhi (Chandni Chowk)","7,949","15,898",Exceptional,10.0,7,Family Room,"2 beds (1 single, 1 double)",,,No Metro,Free cancellation,1 km from centre,397
The Suryaa New Delhi,"New Friends Colony, New Delhi","81,616","81,616",Very good,8.1,904,Deluxe Room with 15% Discount on F&B,1 extra-large double bed,,Swimming pool,No Metro,,9.4 km from centre,"14,691"
"The Hans, New Delhi",New Delhi,"91,310","91,310",Review score,6.5,497,Deluxe Room,Beds: 1 double or 2 singles,Breakfast included,,Metro access,,0.8 km from centre,"16,436"
Gold The Prime Newly Built 2 Mins From Connaught Place and Railway Station,"Paharganj, New Delhi (Chandni Chowk)","42,658","71,096",Fabulous,8.6,376,Family Suite With Glass Enclosed Shower,Private suite1 extra-large double bed,Breakfast included,,No Metro,Free cancellation,0.8 km from centre,"2,133"
Shanti Residency,New Delhi,"26,700","26,700",Review score,6.9,69,Superior King Room,"2 beds (1 double, 1 sofa bed)",Breakfast included,,Metro access,,10 km from centre,"1,335"
"Eros Hotel New Delhi, Nehru Place","Nehru Place, New Delhi","86,444","90,994",Very good,8.0,907,Superior Room with free Wi-Fi,Multiple bed types,,Swimming pool,Metro access,,9.8 km from centre,"20,660"
Hyatt Regency Delhi,New Delhi,"200,438","200,438",Very good,8.4,"1,043",King Suite,Private suite1 extra-large double bed,Breakfast included,Swimming pool,Metro access,No prepayment needed – pay at the property,8.2 km from centre,"47,905"
Holiday Inn New Delhi Mayur Vihar Noida by IHG,"Mayur Vihar Phase 1, New Delhi","62,996","62,996",Good,7.7,919,"Twin Room Standard Smoking with 15% dis on Laundry, 15% dis on F & Soft Bev, Happy Hours 12PM to 7:30 PM, LCO till 15:00 hrs (on availability)",2 single beds,,Swimming pool,Metro access,,8.9 km from centre,"12,826"
"Andaz Delhi, by Hyatt","Aerocity, New Delhi (Aerocity)","113,182","113,182",Fabulous,8.9,"1,547",Deluxe Twin Room,2 single beds,Breakfast included,Swimming pool,No Metro,No prepayment needed – pay at the property,13.3 km from centre,"20,373"
The Grand New Delhi,New Delhi,"97,980","97,980",Good,7.4,431,The Grand Deluxe Room with Twin Bed,2 single beds,,Swimming pool,No Metro,,12.7 km from centre,"17,636"
"THE SINGH EMPIRE, New Delhi City Centre","Paharganj, New Delhi (Chandni Chowk)","30,905","96,579",Very good,8.1,"2,211",Family Suite with Airport Pickup,2 extra-large double beds,,Free parking,No Metro,Free cancellation,1.2 km from centre,"1,545"
Hotel West End Near Delhi Airport With Free Airport Drop,"Mahipalpur, New Delhi","20,157","33,596",Good,7.7,19,Triple Room,"2 beds (1 single, 1 extra-large double)",,Free parking,No Metro,Free cancellation,13.8 km from centre,"1,008"
"Welcomhotel by ITC Hotels, Dwarka, New Delhi","Dwarka, New Delhi","76,400","76,400",Good,7.8,"2,691",Twin Room,"2 beds (1 single, 1 double)",,Swimming pool,Metro access,,17 km from centre,"13,752"
Hotel Satwah Home Stay Just 10 Minute Away From Nizamuddin Railway Station,New Delhi,"34,705","63,100",Very good,8.0,317,Family Suite,1 double bed,,,No Metro,Free cancellation,6.5 km from centre,"1,735"
99 Hotel AIRPORT Stay NEAR Delhi Airport WITH- Free Airport PICKUP,New Delhi,"45,895","45,895",Fabulous,8.6,240,Deluxe Queen Suite,Private suite1 double bed,Breakfast included,Airport shuttle (free),Metro access,Free cancellation,12.4 km from centre,"8,261"
Crowne Plaza New Delhi Rohini by IHG,"Rohini, New Delhi","52,562","52,562",Very good,8.1,700,Standard Twin Room,2 single beds,,Swimming pool,Metro access,,14.5 km from centre,"9,461"
Collection O Near Kohat Enclave Metro Station,New Delhi,"10,809","17,157",Good,7.9,32,Classic Triple Room,1 large double bed,,Free parking,Metro access,Free cancellation,11 km from centre,693
Hotel Namaste Hindustan Just a Minute Away From New Delhi Railway Station and Connaught place,"Paharganj, New Delhi (Chandni Chowk)","47,600","68,000",Fabulous,8.8,"2,106",Luxury Triple Room,"2 beds (1 single, 1 large double)",,,Metro access,Free cancellation,1 km from centre,"8,568"
Townhouse The Royce New Friends Colony,"New Friends Colony, New Delhi","18,117","28,757",Good,7.3,84,Classic Triple Room,1 large double bed,,,No Metro,Free cancellation,9 km from centre,"1,212"
Park Plaza Shahdara,New Delhi,"49,000","49,000",Very good,8.3,574,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,,Swimming pool,No Metro,,8.8 km from centre,"8,820"
Hotel Tashkent Palace - Walk in from New Delhi Station & Metro Station,"Paharganj, New Delhi (Chandni Chowk)","10,660","15,228",Good,7.5,"1,404",Deluxe Triple Room,"2 beds (1 single, 1 double)",,,No Metro,Free cancellation,1.5 km from centre,533
